"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"TRENT","5,456.00","5,500.00","44.00","0.81","5,500.00","7,786","4.28","1,21,611.16","8,345.00","4,488.00"
"NESTLEIND","2,392.80","2,399.40","6.60","0.28","2,399.40","1,759","0.42","85,526.64","2,778.00","2,110.00"
"POWERGRID","294.00","294.70","0.70","0.24","294.70","13,163","0.39","1,33,155.08","366.25","247.30"
"SUNPHARMA","1,676.30","1,674.70","3.90","0.23","1,674.70","2,339","0.39","1,80,204.36","1,960.35","1,526.00"
"CIPLA","1,513.30","1,516.00","2.70","0.18","1,516.00","1,122","0.17","84,813.79","1,702.05","1,335.00"
"GRASIM","2,805.90","2,810.00","4.10","0.15","2,810.00","496","0.14","1,06,768.20","2,896.00","2,276.95"
"LT","3,594.60","3,599.90","5.30","0.15","3,599.90","1,018","0.37","4,20,951.36","3,963.50","2,965.30"
"APOLLOHOSP","7,553.50","7,562.50","9.00","0.12","7,562.50","949","0.72","76,065.75","7,625.50","6,001.00"
"BAJAJFINSV","1,994.40","1,996.80","2.40","0.12","1,996.80","1,300","0.26","1,07,903.83","2,135.00","1,523.25"
"ADANIENT","2,599.10","2,602.00","2.90","0.11","2,602.00","1,052","0.27","67,510.10","3,258.00","2,025.00"
"ONGC","245.24","245.50","0.26","0.11","245.50","21,518","0.53","94,981.14","345.00","205.00"
"ITC","412.55","413.00","0.45","0.11","413.00","28,185","1.16","3,83,156.89","528.50","390.15"
"COALINDIA","386.10","386.50","0.40","0.10","386.50","26,999","1.04","87,459.02","543.55","349.25"
"HINDUNILVR","2,339.30","2,341.00","1.70","0.07","2,341.00","5,024","1.18","2,07,201.06","3,035.00","2,136.00"
"DRREDDY","1,307.40","1,307.90","0.50","0.04","1,307.90","4,732","0.62","79,549.10","1,421.49","1,020.00"
"BHARTIARTL","2,017.20","2,018.00","0.80","0.04","2,018.00","16,254","3.28","5,48,584.24","2,045.80","1,411.50"
"EICHERMOT","5,629.00","5,630.00","1.00","0.02","5,630.00","492","0.28","77,156.50","5,906.50","4,508.75"
"MARUTI","12,646.00","12,647.00","1.00","0.01","12,647.00","243","0.31","1,65,521.32","13,680.00","10,725.00"
"KOTAKBANK","2,129.80","2,130.00","0.20","0.01","2,130.00","2,206","0.47","3,12,316.55","2,301.90","1,679.05"
"HINDALCO","699.45","699.45","-","-","699.45","3,631","0.25","1,00,650.88","772.65","546.45"
"M&M","3,162.50","3,162.50","-","-","3,162.50","3,819","1.21","2,78,621.47","3,270.95","2,425.00"
"TATAMOTORS","689.05","689.05","-","-","689.05","25,932","1.79","1,43,198.25","1,179.00","535.75"
"BAJAJ-AUTO","8,433.00","8,433.00","-","-","8,433.00","757","0.64","93,137.85","12,774.00","7,089.35"
"SBILIFE","1,799.70","1,799.70","-","-","1,799.70","708","0.13","80,318.63","1,936.00","1,372.55"
"WIPRO","270.05","270.05","-","-","270.05","30,607","0.83","76,643.15","324.60","228.00"
"ADANIPORTS","1,424.40","1,424.40","-","-","1,424.40","2,590","0.37","1,04,911.31","1,604.95","995.65"
"ETERNAL","261.40","261.40","-","-","261.40","46,229","1.21","1,81,049.00","304.70","194.80"
"JIOFIN","324.95","324.95","-","-","324.95","60,192","1.96","1,06,200.47","363.00","198.65"
"SHRIRAMFIN","676.15","676.15","-","-","676.15","8,493","0.57","94,783.90","730.45","493.35"
"AXISBANK","1,177.60","1,177.60","-","-","1,177.60","3,345","0.39","3,35,430.48","1,339.65","933.50"
"NTPC","335.50","335.50","-","-","335.50","21,516","0.72","1,58,759.12","448.45","292.80"
"TATASTEEL","163.01","163.00","-0.01","-0.01","163.00","1,71,754","2.80","1,34,502.95","178.19","122.62"
"BEL","427.55","427.45","-0.10","-0.02","427.45","77,821","3.33","1,52,692.85","436.00","240.25"
"HCLTECH","1,725.90","1,725.50","-0.40","-0.02","1,725.50","1,510","0.26","1,82,330.63","2,012.20","1,302.75"
"HDFCBANK","1,989.30","1,989.00","-0.30","-0.02","1,989.00","44,681","8.89","15,15,177.58","2,027.10","1,588.05"
"BAJFINANCE","925.30","925.00","-0.30","-0.03","925.00","24,312","2.25","2,45,394.19","978.80","642.50"
"JSWSTEEL","1,041.40","1,041.00","-0.40","-0.04","1,041.00","1,337","0.14","98,435.06","1,074.90","854.15"
"ASIANPAINT","2,424.20","2,423.30","-0.90","-0.04","2,423.30","2,325","0.56","1,09,539.93","3,394.90","2,124.75"
"INFY","1,640.70","1,640.00","-0.70","-0.04","1,640.00","13,516","2.22","5,88,989.80","2,006.45","1,307.00"
"TCS","3,419.80","3,418.30","-1.50","-0.04","3,418.30","8,782","3.00","3,48,313.00","4,592.25","3,056.05"
